"UID","Property Name","Lon","Lat","Agency IDs and BBLs","Names","DOF Assessed Value","Delinquencies, Liens and Arrears","Addresses","Serious Violations Issued in 2010","REAC Number","Borough","CD","City Council District","Census Tract","Building Count","Unit Count","Year Built","Owner","Rental/Coop (Tenure)","Agencies","Portfolios","Owner Profit Status","Affordability Restrictions","Start Affordability Restrictions","Status Mitchell-Lama","Start Mitchell-Lama","Status LIHTC","Placed in Service (LIHTC)","Status HUD Project-Based Rental Assistance","Earliest HUD Project-Based Rental Assistance Contract Start","Status HUD Financing & Insurance","Start HUD Financing & Insurance"
,"100000","1018 DEVELOPMENT","-73.8924379200458","40.8206040859472","BBL 2-02723-0040;HUD Property 800016127","1018 DEVELOPMENT","2041200",,"1010 EAST 163 STREET","3","94","Bronx","BX02: Hunts Point/Longwood","17","Bronx 89","1","97","1909","1018 DEVELOPMENT CO","Rental","U.S. Department of Housing and Urban Development","Other HUD Insurance without affordability restrictions;Project-Based Section 8;Section 221 (d) (3) & (4) with affordability restrictions",,"Affordable","1979","Never",,"Never",,"Current","1979","Former","1979"
,"100001","1041 BUSHWICK AVENUE APTS","-73.9206541352757","40.6912975331345","BBL 3-03331-0036;HUD Property 800016130","1041 BUSHWICK AVENUE APTS","897300",,"1041 BUSHWICK AVENUE","0","92","Brooklyn","BK04: Bushwick","34","Brooklyn 399","1","48","1924","1041 BUSHWICK AVE ASS","Rental","Department of Finance;U.S. Department of Housing and Urban Development","J-51 Tax Exemption;Project-Based Section 8;Section 221 (d) (3) & (4) with affordability restrictions",,"Affordable","1980","Never",,"Never",,"Current","1980","Current","1980"
,"100002","1085 MANHATTAN DEVELOPMENT","-73.95547262957","40.735693491924","BBL 3-02495-0042;HUD Property 800016133","1085 MANHATTAN DEVELOPMENT","253490",,"1085 MANHATTAN AVENUE","0","98","Brooklyn","BK01: Greenpoint/Williamsburg","33","Brooklyn 563","1","12","1931","MANHATTAN AVE ASSOCS","Rental","Department of Finance;U.S. Department of Housing and Urban Development","J-51 Tax Exemption;Project-Based Section 8;Section 221 (d) (3) & (4) with affordability restrictions",,"Affordable","1978","Never",,"Never",,"Current","1978","Former","1979"
,"100003","1184 DEVELOPMENT","-73.9512679832658","40.6678330761634","BBL 3-01282-0036;HUD Property 800016134","1184 DEVELOPMENT","306900",,"1184 PRESIDENT STREET","0","81","Brooklyn","BK09: South Crown Heights/Lefferts Gardens","35","Brooklyn 321","1","19","1915","1184 ASSOCIATES","Rental","U.S. Department of Housing and Urban Development","Project-Based Section 8;Section 221 (d) (3) & (4) with affordability restrictions",,"Affordable","1981","Never",,"Never",,"Current","1981","Former","1982"
,"100004","119 RALPH AVENUE","-73.9230798763642","40.6859825686243","BBL 3-01487-0005;HUD Property 800016135","119 RALPH AVENUE","30559","Lien sold in 2011 with overdue property taxes.;Lien sold in 2011 with overdue water charges.;Listed in 2011's 90 day lien list with overdue property taxes.;Listed in 2011's 90 day lien list with overdue water charges.","119 RALPH AVENUE","3","24","Brooklyn","BK03: Bedford Stuyvesant","41","Brooklyn 375","1","7","1905","NIKKI KIND, INC","Rental","U.S. Department of Housing and Urban Development","Project-Based Section 8",,"Not Affordable","1977","Never",,"Never",,"Former","1977","Never",
,"100005","1199 PLAZA","-73.9375812926641","40.7906897239749","BBL 1-01701-0001;HPD Property C1023;HUD Property 800016137","1199 PLAZA;2070-2090 First Avenue;2100-2110 First Avenue;2120-2130 First Avenue;425 East 111th Street;429 East 110th Street;ELEVEN NINETY-NINE PLAZA","216612000",,"2070 1 AVENUE;2090 1 AVENUE;2116 1 AVENUE;425 EAST 110 STREET","6","34","Manhattan","MN11: East Harlem","08","Manhattan 162","4","1594","1974","1199 HOUSING CORP","Coop","Department of Finance;Department of Housing Preservation & Development;Housing Development Corporation;U.S. Department of Housing and Urban Development","J-51 Tax Exemption;Mitchell-Lama;Other HDC Mortgage;Project-Based Section 8;Section 223 (f)",,"Affordable","1974","Current, not Eligible to Opt Out","1974","Never",,"Current","1978","Never",
,"100006","130-136 WEST 142ND STREET APTS","-73.9388772454098","40.8187963514957","BBL 1-02010-0042;HUD Property 800079048;SHARS 19940985","130 W 142 ST;130-136 WEST 142ND STREET APTS;WEST 142ND STREET ASSOCIATES L.P","905400",,"130 WEST 142 STREET","0","64","Manhattan","MN10: Central Harlem","09","Manhattan 230","1","61","1910","WEST 142ND STREET ASS","Rental","Department of Finance;Division of Housing & Community Renewal;Housing Development Corporation;U.S. Department of Housing and Urban Development","J-51 Tax Exemption;LIHTC 9%;Other HDC Mortgage;Project-Based Section 8",,"Affordable","1994","Never",,"Current","1997","Former","1994","Never",
,"100007","1451 DEVELOPMENT","-73.9285523565963","40.673412311068","BBL 3-01361-0061;HUD Property 800016138","1451 DEVELOPMENT","686430",,"1441 PROSPECT PLACE","0","93","Brooklyn","BK08: Crown Heights/Prospect Heights","36","Brooklyn 347","1","34","1926","1451 ASSOCIATES","Rental","U.S. Department of Housing and Urban Development","Project-Based Section 8;Section 221 (d) (3) & (4) with affordability restrictions",,"Affordable","1983","Never",,"Never",,"Current","1983","Current","1983"
,"100008","1569 DEVELOPMENT","-73.9241185180706","40.6731295055417","BBL 3-01363-0078;HUD Property 800016141","1569 DEVELOPMENT","534300","Listed in 2011's 90 day lien list with overdue property taxes.;Listed in 2011's 90 day lien list with overdue water charges.","1569 PROSPECT PLACE","32","59","Brooklyn","BK08: Crown Heights/Prospect Heights","41","Brooklyn 359","1","39","1926","PROSPECT PL ASSOC","Rental","U.S. Department of Housing and Urban Development","Project-Based Section 8;Section 236",,"Affordable","1974","Never",,"Never",,"Former","1998","Current","1974"
,"100009","158-160 STANTON STREET","-73.9849312264275","40.7205885175368","BBL 1-00350-0034;BBL 1-00350-0035;HUD Property 800016142","158-160 STANTON STREET","727608",,"158 STANTON STREET;160 STANTON STREET","0","69","Manhattan","MN03: Lower East Side/Chinatown","01","Manhattan 30.01","2","20","1900","158-60 STANTON ST LLC","Rental","U.S. Department of Housing and Urban Development","Project-Based Section 8",,"Affordable","1976","Never",,"Never",,"Current","1976","Never",
,"100010","159 DUPONT STREET DEVELOPMENT","-73.9534226785689","40.7362553543908","BBL 3-02488-0043;HUD Property 800016143","159 DUPONT STREET DEVELOPMENT","112652",,"159 DUPONT STREET","0","76","Brooklyn","BK01: Greenpoint/Williamsburg","33","Brooklyn 579","1","8","1931","BE RAKO LLC","Rental","U.S. Department of Housing and Urban Development","Project-Based Section 8;Section 221(d)(3) Below Market Interest Rate (BMIR)",,"Not Affordable","1969","Never",,"Never",,"Former","1993","Former","1969"
,"100011","1596 DEVELOPMENT","-73.9563107463565","40.6681699639628","BBL 3-01280-0038;BBL 3-01281-0013;HUD Property 800016144","1596 DEVELOPMENT","228138",,"1066 PRESIDENT STREET;1596 BEDFORD AVENUE","0","93","Brooklyn","BK09: South Crown Heights/Lefferts Gardens","35","Brooklyn 325","2","17","1923","1596 ASSOCIATES","Rental","U.S. Department of Housing and Urban Development","Project-Based Section 8;Section 221 (d) (3) & (4) with affordability restrictions",,"Affordable","1982","Never",,"Never",,"Former","1982","Current","1983"
