Domain,Indicator,CD,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Definition,Source
Health,Premature Mortality Rate,Bronx CD 1,*,*,*,*,*,*,3.4,2.9,2.9,*,*,"Age-adjusted rate of deaths under the age of 65 years per 100,000 population.",NYC Department of Health and Mental Hygiene; http://www.nyc.gov/html/doh/downloads/pdf/vs/mortality-report2013.pdf
Health,Premature Mortality Rate,Bronx CD 2,*,*,*,*,*,*,2.6,2.7,2.4,*,*,"Age-adjusted rate of deaths under the age of 65 years per 100,000 population.",NYC Department of Health and Mental Hygiene; http://www.nyc.gov/html/doh/downloads/pdf/vs/mortality-report2013.pdf
Health,Premature Mortality Rate,Bronx CD 3,*,*,*,*,*,*,3.6,3.1,3.6,*,*,"Age-adjusted rate of deaths under the age of 65 years per 100,000 population.",NYC Department of Health and Mental Hygiene; http://www.nyc.gov/html/doh/downloads/pdf/vs/mortality-report2013.pdf
Health,Premature Mortality Rate,Bronx CD 4,*,*,*,*,*,*,2.5,2.6,2.4,*,*,"Age-adjusted rate of deaths under the age of 65 years per 100,000 population.",NYC Department of Health and Mental Hygiene; http://www.nyc.gov/html/doh/downloads/pdf/vs/mortality-report2013.pdf
Health,Premature Mortality Rate,Bronx CD 5,*,*,*,*,*,*,2.7,2.4,2.4,*,*,"Age-adjusted rate of deaths under the age of 65 years per 100,000 population.",NYC Department of Health and Mental Hygiene; http://www.nyc.gov/html/doh/downloads/pdf/vs/mortality-report2013.pdf
Health,Premature Mortality Rate,Bronx CD 6,*,*,*,*,*,*,2.9,2.9,3.2,*,*,"Age-adjusted rate of deaths under the age of 65 years per 100,000 population.",NYC Department of Health and Mental Hygiene; http://www.nyc.gov/html/doh/downloads/pdf/vs/mortality-report2013.pdf
Health,Premature Mortality Rate,Bronx CD 7,*,*,*,*,*,*,2.3,2.1,2.2,*,*,"Age-adjusted rate of deaths under the age of 65 years per 100,000 population.",NYC Department of Health and Mental Hygiene; http://www.nyc.gov/html/doh/downloads/pdf/vs/mortality-report2013.pdf
Health,Premature Mortality Rate,Bronx CD 8,*,*,*,*,*,*,1.8,1.7,1.3,*,*,"Age-adjusted rate of deaths under the age of 65 years per 100,000 population.",NYC Department of Health and Mental Hygiene; http://www.nyc.gov/html/doh/downloads/pdf/vs/mortality-report2013.pdf
Health,Premature Mortality Rate,Bronx CD 9,*,*,*,*,*,*,2.4,2.2,2.0,*,*,"Age-adjusted rate of deaths under the age of 65 years per 100,000 population.",NYC Department of Health and Mental Hygiene; http://www.nyc.gov/html/doh/downloads/pdf/vs/mortality-report2013.pdf
Health,Premature Mortality Rate,Bronx CD 10,*,*,*,*,*,*,1.9,2.1,1.7,*,*,"Age-adjusted rate of deaths under the age of 65 years per 100,000 population.",NYC Department of Health and Mental Hygiene; http://www.nyc.gov/html/doh/downloads/pdf/vs/mortality-report2013.pdf
Health,Premature Mortality Rate,Bronx CD 11,*,*,*,*,*,*,2.2,2.2,2.0,*,*,"Age-adjusted rate of deaths under the age of 65 years per 100,000 population.",NYC Department of Health and Mental Hygiene; http://www.nyc.gov/html/doh/downloads/pdf/vs/mortality-report2013.pdf
Health,Premature Mortality Rate,Bronx CD 12,*,*,*,*,*,*,2.1,2.1,2.0,*,*,"Age-adjusted rate of deaths under the age of 65 years per 100,000 population.",NYC Department of Health and Mental Hygiene; http://www.nyc.gov/html/doh/downloads/pdf/vs/mortality-report2013.pdf
Health,Premature Mortality Rate,Brooklyn CD 1,*,*,*,*,*,*,1.7,2.1,1.8,*,*,"Age-adjusted rate of deaths under the age of 65 years per 100,000 population.",NYC Department of Health and Mental Hygiene; http://www.nyc.gov/html/doh/downloads/pdf/vs/mortality-report2013.pdf
Health,Premature Mortality Rate,Brooklyn CD 2,*,*,*,*,*,*,2.1,1.9,1.9,*,*,"Age-adjusted rate of deaths under the age of 65 years per 100,000 population.",NYC Department of Health and Mental Hygiene; http://www.nyc.gov/html/doh/downloads/pdf/vs/mortality-report2013.pdf
